strategy,edge_pnl,edge_pf,eval_pass,eval_days,funded_withdrawn,funded_total_made,funded_end_equity,y2020_pnl,y2020_pf,y2021_pnl,y2021_pf,y2022_pnl,y2022_pf,trades_per_day
S6_eq_liquidity_fade,250269.76,1.86,True,79,239436.57,240436.57,101000.0,74677.76,1.795,58182.47,1.517,117409.53,2.387,2.846
S4_asia_break_go,299863.99,3.353,True,44,288888.01,289888.01,101000.0,100515.64,3.27,93231.75,3.179,106116.6,3.629,2.011
S5_dual_liquidity_book,282047.5,1.665,True,72,271635.7,272053.77,100418.07,80957.06,1.578,77397.18,1.507,123693.26,1.939,3.835
S3_turtle_soup,178987.7,1.522,True,73,167075.46,167984.43,100908.97,53590.74,1.474,51221.05,1.425,74175.91,1.68,2.925
S1_session_break_retest,145004.23,1.502,True,93,133784.9,134985.47,101200.57,44995.15,1.473,40969.96,1.412,59039.12,1.626,2.467
S2_ny_london_turtle,72157.93,1.759,True,217,61395.66,62395.66,101000.0,17758.41,1.573,23193.26,1.701,31206.26,2.008,1.333
