Stage A configs=12075 pairsets=['core5', 'majors4', 'yen_eu', 'all7', 'exotics_ok']

=== Stage A: core5 ===
  200/12075 kept=161 top_ann=$2144 last=$1359 smc cache=3
  400/12075 kept=298 top_ann=$3367 last=$90 smc cache=3
  600/12075 kept=410 top_ann=$3367 last=$-3063 smc cache=3
  800/12075 kept=538 top_ann=$3367 last=$-534 smc cache=3
  1000/12075 kept=621 top_ann=$3367 last=$90 smc cache=3
  1200/12075 kept=673 top_ann=$3394 last=$76 smc cache=3
  1400/12075 kept=730 top_ann=$4022 last=$-1266 smc cache=3
  1600/12075 kept=777 top_ann=$4126 last=$330 smc cache=3
  1800/12075 kept=857 top_ann=$4162 last=$-371 smc_plus cache=6
